-87.81, -49.96 
-87.73, -50.37 
-87.59, -40.76 
-86.56, -25.04 
-87.61, -49.59 
-88.01, -42.08 
-87.38, -36.38 
-86.90, -28.36 
-87.45, -43.74 
-87.68, -53.37 
-87.72, -40.49 
-87.57, -38.50 
-87.80, -53.30 
-87.10, -35.90 
-87.29, -40.94 
-87.71, -35.41 
-87.34, -50.92 
-87.57, -38.01 
-87.56, -40.06 
-86.83, -33.80 
-87.35, -46.45 
-87.34, -41.82 
-87.58, -44.33 
-87.41, -41.01 
-87.15, -37.14 
-87.67, -47.29 
-87.48, -43.05 
-87.56, -41.92 
-86.67, -39.29 
-87.24, -37.95 
-86.97, -34.64 
-87.67, -45.34 
-87.50, -35.84 
-87.08, -32.82 
-86.74, -33.01 
-86.38, -34.70 
-86.86, -28.93 
-87.29, -23.41 
-87.21, -14.57 
-87.00, -27.61 
-86.54, -16.91 
-85.24, -34.18 
-82.18, -16.57 
-79.49, -17.69 
-76.40, -13.71 
-69.75, -14.17 
-66.19, -14.45 
-64.52, -8.79 
-58.00, -10.32 
-56.83, -11.92 
-55.06, -11.55 
-47.94, -8.94 
-51.96, -11.68 
-47.81, -11.98 
-47.12, -11.62 
-50.23, -16.66 
-41.44, -10.73 
-41.40, -18.41 
-34.07, -7.31 
-32.44, -7.55 
-36.01, -9.58 
-25.72, -6.29 
-22.52, -3.43 
-19.96, -4.22 
-21.59, -4.53 
-17.39, -2.87 
-17.87, -3.25 
-22.00, -6.75 
-23.40, -0.19 
-10.36, 2.69 
-20.48, -0.84 
-19.88, -1.05 
-16.43, 4.59 
-2.86, -0.73 
-17.68, -3.73 
-1.63, 2.77 
0.00, 1.06 
0.16, 0.72 
0.61, 0.96 
1.02, 0.75 
0.72, 1.15 
0.45, 1.18 
1.01, 2.26 
0.50, 1.33 
0.08, 1.12 
0.58, 0.61 
0.56, 1.19 
-0.21, 1.25 
-0.37, 0.03 
0.11, 0.90 
0.00, 1.02 
0.13, 0.90 
0.64, 1.17 
0.69, 1.27 
0.68, 1.24 
0.03, 0.82 
0.58, 0.76 
0.32, 0.54 
